500 Reach (Kansas City, KS)
Roanoke Baptist School (Roanoke, IN)
Roanoke Catholic School (Roanoke, VA)
Roanoke Rapids Early College High (Roanoke Rapids, NC)
Roanoke Rapids High School (Roanoke Rapids, NC)
Roanoke Valley Christian Schools (Roanoke, VA)
Roanoke-Benson High School (Roanoke, IL)
Roaring Fork High School (Carbondale, CO)
Roark El (Arlington, TX)
Robb El Sch (Lock Haven, PA)
Robberson Elem. (Springfield, MO)
Robbin E L Washington International El (El Paso, TX)
Robbins Elementary (Robbins, CA)
Robbins Elementary School (Trenton, NJ)
Robbinsdale Academic Summer Program (New Hope, MN)
Robbinsdale Armstrong Senior High (Plymouth, MN)
Robbinsdale Cooper Senior High (New Hope, MN)
Robbinsdale Shared Time Program (New Hope, MN)
Robbinsville High (Robbinsville, NC)
Robbinsville High School (Robbinsville, NJ)
Roberson High (Asheville, NC)
Robert A Jamieson School (Peoria, IL)
Robert A. Millikan Affiliated Charter & Perf Arts Magnet Mid (Sherman Oaks, CA)
Robert A. Taft Information Technology High School (Cincinnati, OH)
Robert Anderson Middle (Anderson, SC)
Robert B Glenn High School (Kernersville, NC)
Robert B Sewell El (Sachse, TX)
Robert C Byrd High School (Clarksburg, WV)
Robert C Hatch High School (Uniontown, AL)
Robert Clow Elem Sch (Naperville, IL)
Robert Crippen El (Porter, TX)
Robert D. Stethem Educational Center (Pomfret, MD)
Robert Denier Youth Services Center (Durango, CO)
Robert Driscoll Jr El (Robstown, TX)
Robert E Bell School (Chappaqua, NY)
Robert E. Fitch High School (Groton, CT)
Robert E. Lee Elem (Spotsylvania, VA)
Robert E. Lee Elem. School (Springdale, AR)
Robert E. Lee High School (Jacksonville, FL)
Robert E. Peary Middle (Gardena, CA)
Robert E. Willett Elementary (Davis, CA)
Robert Elliott Alternative Education Center (Modesto, CA)
Robert Ellsworth Correctional Center (Union Grove, WI)
Robert F Bumpus Middle School (Hoover, AL)
Robert F Kennedy Community High School (Flushing, NY)
Robert F Morehead Middle Schoo (Pine Bluff, AR)
Robert F Schultz Elementary School (Delaware, OH)
Robert F Wagner Jr Secondary School For Arts And Technology (Long Island City, NY)
Robert F. Kennedy Charter (Albuquerque, NM)
Robert F. Kennedy High (Delano, CA)
Robert F. Munroe Day School (Havana, FL)
Robert F. Woodall Elementary (White House, TN)
Robert Frost Elementary (Pasco, WA)
Robert Frost Elementary School (Westerville, OH)
Robert Fulton College Preparatory (Van Nuys, CA)
Robert G Cole Middle/High School (San Antonio, TX)
Robert H Goddard HS-Comm/Tech (Ozone Park, NY)
Robert H Rockenbaugh El (Southlake, TX)
Robert H. Lewis Continuation (Sun Valley, CA)
Robert Hill Lane Elementary (Monterey Park, CA)
Robert J. Fite Elementary (Sacramento, CA)
Robert Janss School (Boise, ID)
Robert King El (Katy, TX)
Robert Kupper Learning Center (Tomah, WI)
Robert L Olds Junior High School (Connell, WA)
Robert L. Craig School (Moonachie, NJ)
Robert L. Duffy High School (Phoenix, AZ)
Robert L. Horbelt Elementary School (Barnegat, NJ)
Robert L. Patton High School (Morganton, NC)
Robert L. Stevens Elementary (Santa Rosa, CA)
Robert Lee School (Robert Lee, TX)
Robert Louis Stevenson College And Career Preparatory (Los Angeles, CA)
Robert Louis Stevenson School (New York, NY)
Robert M Finley Middle School (Glen Cove, NY)
Robert M Grable Jr Mount Sinai High School (Mount Sinai, NY)
Robert M Larson Elementary School (Harrison, MI)
Robert M Shoemaker H S (Killeen, TX)
Robert M. Martin Elementary (Wichita, KS)
Robert M. Pyles Stem Academy (Stanton, CA)
Robert Mcqueen High School (Reno, NV)
Robert Morgan Educational Center (Miami, FL)
Robert Morgan Educational Center And Technical College (Miami, FL)
Robert Morris School No. 18 (Elizabeth, NJ)
Robert R Vela H S (Edinburg, TX)
Robert Renick Education Center (Opa Locka, FL)
Robert Richardson Elementary School (Tucson, AZ)
Robert Russa Moton Charter School (New Orleans, LA)
Robert Shaw Theme School (Scottdale, GA)
Robert Toombs Christian Academy (Lyons, GA)
Robert Turner College And Career H S (Pearland, TX)
Robert W Traip Academy (Kittery, ME)
Robert Waters Elementary School (Union City, NJ)
Roberta T. Smith Elementary School (Rex, GA)
Roberto Bobby Barrera El Stem Magnet (Laughlin Afb, TX)
Roberto Clemente (Carolina, PR)
Roberto Clemente Cs (Allentown, PA)
Roberto Clemente Elementary School (Newark, NJ)
Roberto Silva Morales (Juncos, PR)
Roberto W. Clemente Middle (Germantown, MD)
Roberts El (Houston, TX)
Roberts El (Lubbock, TX)
Roberts El (San Benito, TX)
Roberts Elementary School (Tallahassee, FL)
Roberts Ferry Charter School Academy (Waterford, CA)
Roberts Ferry Union Elementary (Waterford, CA)
Roberts High School (Roberts, MT)
Roberts High School (Salem, OR)
Robertsdale High School (Robertsdale, AL)
Robertson Co. Virtual School (Springfield, TN)
Robertson County Adult High School (Springfield, TN)
Robertson County Phoenix Academy (Springfield, TN)
Robertson County School (Mount Olivet, KY)
Robertson High (Continuation) (Fremont, CA)
Robertson High (Las Vegas, NM)
Robertson Road Elementary (Modesto, CA)
Robertson School (Warwick, RI)
Robeson Elem School (Champaign, IL)
Robey Elementary School (Indianapolis, IN)
Robichaud Senior High School (Dearborn Heights, MI)
Robidoux Middle (St Joseph, MO)
Robins Elementary School (Tucson, AZ)
Robinson Academy (Long Beach, CA)
Robinson El (Katy, TX)
Robinson El (Robinson, TX)
Robinson Elem School (Chicago, IL)
Robinson Elem. (Raytown, MO)
Robinson Elementary (Beloit, WI)
Robinson Elementary School (Fairfield, AL)
Robinson H S (Robinson, TX)
Robinson High School (Robinson, IL)
Robinson High School (Tampa, FL)
Robinson Middle School (Topeka, KS)
Robinson School (Aurora, MO)
Robinson Secondary (Fairfax, VA)
Robinson Township Christian School (Mc Kees Rocks, PA)
Robinswood Middle (Orlando, FL)
Robinwood Elementary (Florissant, MO)
Robious Elem (Midlothian, VA)
Robious Middle (Midlothian, VA)
Robla Preschool (Sacramento, CA)
Robles Elementary School (Tampa, FL)
Robstown Early College H S (Robstown, TX)
Roby Cisd (Roby, TX)
Rochambeau-The French Intl School (Bethesda, MD)
Rochelle Focus House (Rochelle, IL)
Rochelle School (Rochelle, TX)
Rochelle Twp High School (Rochelle, IL)
Rochelle Zell Jewish High School (Deerfield, IL)
Rochester Academy Charter School (Rochester, NY)
Rochester Academy-Idp Living(Rail) (Rochester, MN)
Rochester Adams High School (Rochester Hills, MI)
Rochester Alternative Learning Cntr (Rochester, MN)
Rochester Beacon Academy (Rochester, MN)
Rochester Community High School (Rochester, IN)
Rochester Early College International High School (Rochester, NY)
Rochester High School (Rochester Hills, MI)
Rochester High School (Rochester, IL)
Rochester High School (Rochester, PA)
Rochester High School (Rochester, WA)
Rochester Hills Christian School (Rochester Hills, MI)
Rochester Learning Academy (Gonic, NH)
Rochester Memorial (Rochester, MA)
Rochester Middle School (Rochester, NH)
Rochester Ms (Rochester, PA)
Rochester Pentecostal School (Rochester, MN)
Rochester Phoenix Academy (Rochester, MN)
Rochester Prep Charter School 3 (Rochester, NY)
Rochester Stem Academy (Rochester, MN)
Rocinante High (Farmington, NM)
Rock Bridge Sr. High (Columbia, MO)
Rock Canyon High School (Highlands Ranch, CO)
Rock Christian Academy (Fort Myers, FL)
Rock Church School (Franklin, VA)
Rock County Christian School (Janesville, WI)
Rock County High School (Bassett, NE)
Rock Creek (Frederick, MD)
Rock Creek Community Academy (Sellersburg, IN)
Rock Creek Elementary (Maple Valley, WA)
Rock Creek Elementary School (Portland, OR)
Rock Creek Elementary School (Rock Creek, OH)
Rock Creek Grant School (Bullhead, SD)
Rock Creek High School (St George, KS)
Rock Creek HS (Bokchito, OK)
Rock Falls Middle School (Rock Falls, IL)
Rock Falls Township High School (Rock Falls, IL)
Rock Hall Elementary (Rock Hall, MD)
Rock Hill H S (Frisco, TX)
Rock Hill High (Rock Hill, SC)
Rock Hill Middle School (Ironton, OH)
Rock Hill Sr High School (Ironton, OH)
Rock Hills Elementary School (Mankato, KS)
Rock Hills Jr/Sr High School (Mankato, KS)
Rock Island High School (Rock Island, IL)
Rock Lake Middle School (Longwood, FL)
Rock Point Community School (Rock Point, AZ)
Rock Point School (Burlington, VT)
Rock Port High (Rock Port, MO)
Rock Prairie El (College Station, TX)
Rock Quarry Elementary School (Tuscaloosa, AL)
Rock Ridge High (Ashburn, VA)
Rock River Challenge (Chana, IL)
Rock River Charter School (Janesville, WI)
Rock River High School (Rock River, WY)
Rock River Intermediate (Waupun, WI)
Rock Solid Christian Academy (Denver, CO)
Rock Springs Christian Academy (Milner, GA)
Rock Springs Elementary (Apopka, FL)
Rock Springs Elementary (Escondido, CA)
Rock Springs Elementary (Kingsport, TN)
Rock Springs High School (Rock Springs, WY)
Rock Terrace School (Rockville, MD)
Rock University High (Janesville, WI)
Rock Valley High School (Rock Valley, IA)
Rockaway Collegiate High School (Rockaway Park, NY)
Rockaway Park High School For Environmental Sustainability (Rockaway Park, NY)
Rockbridge Academy (Millersville, MD)
Rockbridge Christian Academy (Lexington, VA)
Rockbridge County High (Lexington, VA)
Rockcastle Academy For Academic Achievement (Mount Vernon, KY)
Rockcastle County Area Technology Center (Mount Vernon, KY)
Rockcastle County High School (Mount Vernon, KY)
Rockdale County High School (Conyers, GA)
Rockdale H S (Rockdale, TX)
Rockefeller Incentive Elem. (Little Rock, AR)
Rocketship United (Nashville, TN)
Rockey Glenn Camp (San Dimas, CA)
Rockfish Elementary (Hope Mills, NC)
Rockford Boylan Catholic High School (Rockford, IL)
Rockford Christian Schools (Rockford, IL)
Rockford East High School (Rockford, IL)
Rockford Elementary (Dobson, NC)
Rockford Elementary (Porterville, CA)
Rockford High School (Rockford, MI)
Rockford HS Freshman Center (Rockford, MI)
Rockford Iqra' School (Rockford, IL)
Rockford Junior-Senior Rockford Senior High (Rockford, IA)
Rockford Lutheran School - Jr/Sr High School (Rockford, IL)
Rockford Secondary (Rockford, MN)
Rockhill El Sch (Rockhill Furnace, PA)
Rockhurst High School (Kansas City, MO)
Rockingham Co Early College High (Wentworth, NC)
Rockingham County High (Reidsville, NC)
Rockingham County Middle (Reidsville, NC)
Rockland Boces (West Nyack, NY)
Rockland Children'S Psychiatric Center (Orangeburg, NY)
Rockland Public School (Rockland, ID)
Rockland Senior High (Rockland, MA)
Rockledge Elementary (Bowie, MD)
Rockledge Senior High School (Rockledge, FL)
Rocklin Alternative Education Center (Rocklin, CA)
Rocklin Elementary (Rocklin, CA)
Rocklin High (Rocklin, CA)
Rocklin Independent Charter Academy (Rocklin, CA)
Rockmart High School (Rockmart, GA)
Rockport Heights Elem. (Arnold, MO)
Rockport High (Rockport, MA)
Rockport Middle (Rockport, MA)
Rockport-Fulton H S (Rockport, TX)
Rockridge Academy (Duluth, MN)
Rockridge High School (Taylor Ridge, IL)
Rockrimmon Elementary School (Colorado Springs, CO)
Rocksprings K-12 (Rocksprings, TX)
Rockvale High School (Rockvale, TN)
Rockville Elementary School (Louisburg, KS)
Rockville High (Rockville, MD)
Rockville High School (Vernon, CT)
Rockwall H S (Rockwall, TX)
Rockwall Quest Academy (Rockwall, TX)
Rockwall-Heath H S (Heath, TX)
Rockwell Charter High School (Eagle Mountain, UT)
Rockwell Christian School (Rockwell, NC)
Rockwell Middle School (Warren, MI)
Rockwood Area El Sch (Rockwood, PA)
Rockwood Area Jshs (Rockwood, PA)
Rockwood Ctr. Early Child. Ed. (Chesterfield, MO)
Rockwood High School (Rockwood, TN)
Rockwood Summit Sr. High (Fenton, MO)
Rockwood Valley Middle (Wildwood, MO)
Rocky Bayou Christian School (Crestview, FL)
Rocky Bayou Christian School (Niceville, FL)
Rocky Boy High School (Box Elder, MT)
Rocky Branch Elementary (River Falls, WI)
Rocky Comfort Elem. (Rocky Comfort, MO)
Rocky Ford Junior/Senior High School (Rocky Ford, CO)
Rocky Grove Jshs (Franklin, PA)
Rocky Heights Middle School (Littleton, CO)
Rocky Hill Country Day School (East Greenwich, RI)
Rocky Hill High School (Rocky Hill, CT)
Rocky Mount Academy (Rocky Mount, NC)
Rocky Mount Elem (Rocky Mount, VA)
Rocky Mount High (Rocky Mount, NC)
Rocky Mount Middle (Rocky Mount, NC)
Rocky Mount Preparatory (Rocky Mount, NC)
Rocky Mountain Academy Of Evergreen (Evergreen, CO)
Rocky Mountain Deaf School (Golden, CO)
Rocky Mountain Elementary School (Longmont, CO)
Rocky Mountain High School (Cowley, WY)
Rocky Mountain High School (Fort Collins, CO)
Rocky Mountain High School (Meridian, ID)
Rocky Mountain Lutheran High School (Commerce City, CO)
Rocky Mountain School (Goodnews Bay, AK)
Rocky Mountain School Of Expeditionary Learning (Denver, CO)
Rocky Point High School (Rocky Point, NY)
Rocky Ridge Boarding School (Kykotsmovi, AZ)
Rocky Ridge Elementary School (Hoover, AL)
Rocky River High School (Mint Hill, NC)
Rocky River High School (Rocky River, OH)
Rocky Run Elem (Fredericksburg, VA)
Rocori Senior High (Cold Spring, MN)
Rod Paige Middle School (Monticello, MS)
Rodburn Elementary School (Morehead, KY)
Rodger & Ellen Beck J H (Katy, TX)
Rodger O. Borror Middle School (Wilmington, OH)
Rodgers Elementary School (Saint Clair Shores, MI)
Rodgers Forge Elementary (Baltimore, MD)
Roe #40 Safe School Jersey (Carlinville, IL)
Roe 20 Learning Alt Branch School (Norris City, IL)
Roe 20 Learning Alternative Branch School (Norris City, IL)
Roe 53 Academy (Germantwn Hls, IL)
Roe 53 Safe School (Metamora, IL)
Roe Adult Learning Ctr Jersey (Carlinville, IL)
Roe Adult Learning Ctr Macoupin (Carlinville, IL)
Roe Alternative Prog Of Lake Co (Zion, IL)
Roe Safe Sch Greene (Carlinville, IL)
Roe Safe Sch Macoupin (Carlinville, IL)
Roebling Elementary School (Roebling, NJ)
Roebuck Elementary (Roebuck, SC)
Roeding Elementary (Fresno, CA)
Roeper City & Country School (Bloomfield Hills, MI)
Roesland Elem (Shawnee Mission, KS)
Roff HS (Roff, OK)
Roger Amos Mcmurtry School (Gulfport, MS)
Roger Anton Elementary (San Bernardino, CA)
Roger B Chaffee Elementary School (Huntsville, AL)
Roger L. Putnam Vocational Technical Academy (Springfield, MA)
Rogers Academy (San Antonio, TX)
Rogers City High School (Rogers City, MI)
Rogers Creek Elementary (Athens, TN)
Rogers El (Frisco, TX)
Rogers Elem School (Chicago, IL)
Rogers Elem School (Waterloo, IL)
Rogers Elementary School (Colorado Springs, CO)
Rogers Elementary School (North Pekin, IL)
Rogers H S (Rogers, TX)
Rogers Heights Elementary (Bladensburg, MD)
Rogers Heritage High School (Rogers, AR)
Rogers High School (Florence, AL)
Rogers High School (Newport, RI)
Rogers High School (Rogers, AR)
Rogers High School (Spokane, WA)
Rogers High School (Toledo, OH)
Rogers Middle (Long Beach, CA)
Rogers Middle (Rogers, TX)
Rogers Middle (St Louis, MO)
Rogers Middle School (Rochester, NY)
Rogers Middle School (Rogers, MN)
Rogers New Technology High School (Rogers, AR)
Rogers Park Elementary (Anchorage, AK)
Rogers Senior High (Rogers, MN)
Rogersville Elementary (Rogersville, TN)
Rogue River Junior/Senior High (Rogue River, OR)
Rogue Valley Adventist Academy (Medford, OR)
Rohr (Fred H.) Elementary (Chula Vista, CA)
Rohr Bais Chaya Academy (Tamarac, FL)
Roland HS (Roland, OK)
Roland Ms (Roland, OK)
Roland Park Elementary/Middle (Baltimore, MD)
Roland-Story High School (Story City, IA)
Rolando Park Elementary (San Diego, CA)
Rolesville High (Rolesville, NC)
Rolette High School (Rolette, ND)
Rolfe Middle (Richmond, VA)
Rolla Jh/HS (6-12) (Rolla, KS)
Rolla Sr. High (Rolla, MO)
Rolla Technical Ctr. (Rolla, MO)
Rolla Technical Inst. (Rolla, MO)
Rolling Acres Middle School (Peoria, IL)
Rolling Hills Elementary (Fullerton, CA)
Rolling Hills Elementary School (Aurora, CO)
Rolling Hills Middle (El Dorado Hills, CA)
Rolling Hills Preparatory (San Pedro, CA)
Rolling Meadow School (Higginsville, MO)
Rolling Meadows El (San Antonio, TX)
Rolling Meadows High School (Rolling Meadows, IL)
Rolling Ridge Elem (Olathe, KS)
Rollings Middle School Of The Arts (Summerville, SC)
Rollins Early Childhood Center (Lawrence, MA)
Rollinsford Grade School (Rollinsford, NH)
Roma H S (Roma, TX)
Rome Comm Cons Elem School (Dix, IL)
Rome Free Academy (Rome, NY)
Rome High School (Rome, GA)
Romeo High School (Washington, MI)
Romeoville High School (Romeoville, IL)
Romero-Cruz Academy (Santa Ana, CA)
Romulus Adult Education (Romulus, MI)
Romulus Adult Education Alternative (Romulus, MI)
Romulus Central School (Romulus, NY)
Romulus Middle School (Romulus, MI)
Romulus Senior High School (Romulus, MI)
Romulus Virtual Learning Center (Romulus, MI)
Ron Brown College Preparatory HS (Washington, DC)
Ron Hockwalt Academies (Continuation) (Walnut, CA)
Ronald D O Neal (Elgin, IL)
Ronald E. Mcnair Elementary (Compton, CA)
Ronald E. Mcnair High (Stockton, CA)
Ronald Edmonds Learning Center Ii (Brooklyn, NY)
Ronald Mcdonald House (Minneapolis, MN)
Ronald Mcnair Magnet Middle School (Rockledge, FL)
Ronald Reagan Academy (Dinuba, CA)
Ronald Reagan Elementary (Bakersfield, CA)
Ronald Reagan Secondary School (Chester, VA)
Ronald Thornton Middle (Missouri City, TX)
Ronald W Reagan High School (Pfafftown, NC)
Ronald W. Reagan/Doral Senior High School (Doral, FL)
Ronan High School (Ronan, MT)
Roncalli Catholic High School (Omaha, NE)
Roncalli High School (Indianapolis, IN)
Roncalli High School (Manitowoc, WI)
Roncalli Jr & Sr High School (Aberdeen, SD)
Rondo Campus (Saint Paul, MN)
Rondout Valley High School (Accord, NY)
Ronkonkoma Middle School (Ronkonkoma, NY)
Roosa Es (Claremore, OK)
Roosevelt (Melrose, MA)
Roosevelt (Tacoma, WA)
Roosevelt Academy (Lake Wales, FL)
Roosevelt Altern Sch (Norristown, PA)
Roosevelt Alternative School (Mission, TX)
Roosevelt Center (Rockford, IL)
Roosevelt Education Center (Saint Cloud, MN)
Roosevelt El (Houston, TX)
Roosevelt Elem School (Moline, IL)
Roosevelt Elementary (Bakersfield, CA)
Roosevelt Elementary (Detroit Lakes, MN)
Roosevelt Elementary (Hanford, CA)
Roosevelt Elementary (Hoisington, KS)
Roosevelt Elementary (Pasadena, CA)
Roosevelt Elementary (Santa Barbara, CA)
Roosevelt Elementary School (Bellingham, WA)
Roosevelt Elementary School (Dayton, OH)
Roosevelt Elementary School (Mandan, ND)
Roosevelt Elementary School (Mason City, IA)
Roosevelt Elementary School (Mesa, AZ)
Roosevelt Elementary School (Minot, ND)
Roosevelt Elementary School (Olympia, WA)
Roosevelt Elementary School (Point Pleasant, WV)
Roosevelt Elementary School (South Plainfield, NJ)
Roosevelt Elementary School (Stevensville, MI)
Roosevelt Es (Miami, OK)
Roosevelt H S (Lubbock, TX)
Roosevelt H S (San Antonio, TX)
Roosevelt High (Fresno, CA)
Roosevelt High (St Louis, MO)
Roosevelt High School - 03 (Sioux Falls, SD)
Roosevelt High School - Early College Studies (Yonkers, NY)
Roosevelt High School - Sws (Minneapolis, MN)
Roosevelt High School (Casper, WY)
Roosevelt High School (Chicago, IL)
Roosevelt High School (Des Moines, IA)
Roosevelt High School (Johnstown, CO)
Roosevelt High School (Portland, OR)
Roosevelt High School (Roosevelt, NY)
Roosevelt High School (Seattle, WA)
Roosevelt High School (Wyandotte, MI)
Roosevelt HS (Washington, DC)
Roosevelt Intermediate School (Westfield, NJ)
Roosevelt J H (Lubbock, TX)
Roosevelt Junior High (Modesto, CA)
Roosevelt Learning Center (Rock Springs, WY)
Roosevelt Magnet School (Peoria, IL)
Roosevelt Middle (Coffeyville, KS)
Roosevelt Middle (Compton, CA)
Roosevelt Middle (San Francisco, CA)
Roosevelt Ms (Oklahoma City, OK)
Roosevelt School (Lyndhurst, NJ)
Roosevelt School #7 (Garfield, NJ)
Roosevelt Senior High (Minneapolis, MN)
Roosevelt Stay HS (Washington, DC)
Roosevelt-Wilson El (Texas City, TX)
Root Elementary (Raleigh, NC)
Rooted School (New Orleans, LA)
Roots & Wings Community (Questa, NM)
Roots Charter High School (West Valley City, UT)
Rootstown/Ward Davis Bldg High School (Rootstown, OH)
Roper Elementary School (Lincoln, NE)
Ropes School (Ropesville, TX)
Roque Guerra Jr El (Rio Grande City, TX)
Rosa Fort High School (Tunica, MS)
Rosa L. Parks School Of Fine And Performing Arts (Paterson, NJ)
Rosa Luz Zayas (Cedro Arriba) (Naranjito, PR)
Rosa M. Parks Middle (Olney, MD)
Rosa Parks Center (Fulton, MO)
Rosa Parks Charter High School (Rochester, MN)
Rosa Parks Elem (Woodbridge, VA)
Rosa Parks Elementary - 15 (Sioux Falls, SD)
Rosa Parks Elementary (Lynwood, CA)
Rosa Parks Elementary (Sacramento, CA)
Rosa Parks Elementary School (Middletown, OH)
Rosa Parks Elementary School (Portland, OR)
Rosa Parks Elementary School (Toledo, OH)
Rosa Parks Es (Tulsa, OK)
Rosa Parks/Millbrook El (Lancaster, TX)
Rosa Taylor Elementary School (Macon, GA)
Rosabelle W. Blake Academy (Lakeland, FL)
Rosalia Elementary & Secondary School (Rosalia, WA)
Rosalina C. Martinez (Catano, PR)
Rosamond High Early College Campus (Rosamond, CA)
Rosary Academy (Fullerton, CA)
Rosary High School (Aurora, IL)
Rosati-Kain High School (Saint Louis, MO)
Roscoe Central School (Roscoe, NY)
Roscoe Collegiate H S (Roscoe, TX)
Roscoe Elementary (Osceola, MO)
Roscommon High School (Roscommon, MI)
Rose & Alex Pilibos Armenian School (Los Angeles, CA)
Rose Academy Llc (Tallahassee, FL)
Rose Acres Elem. (Maryland Heights, MO)
Rose Avenue Elementary (Oxnard, CA)
Rose Bud High School (Rose Bud, AR)
Rose City High (Continuation) (Pasadena, CA)
Rose Drive Elementary (Yorba Linda, CA)
Rose Elementary (Escondido, CA)
Rose Ferrero Elementary (Soledad, CA)
Rose Hill Christian School (Ashland, KY)
Rose Hill Elem School (Omaha, NE)
Rose Hill High (Rose Hill, KS)
Rose Hill Intermediate (Rose Hill, KS)
Rose Hill Middle (Rose Hill, KS)
Rose Hill Middle School (Redmond, WA)
Rose L Macdonald (West Bridgewater, MA)
Rose M Singer Center (East Elmhurst, NY)
Rose Park School (Billings, MT)
Rose Pioneer Elementary School (Holly, MI)
Rose School (Roseburg, OR)
Rose Stein International Elementary (Lakewood, CO)
Roseau Dist. Area Learning Program (Roseau, MN)
Roseau Secondary (Roseau, MN)
Rosebud Elementary - 04 (Rosebud, SD)
Rosebud Elementary School (Loganville, GA)
Rosebud High School (Rosebud, MT)
Rosebud-Lott H S (Lott, TX)
Roseburg High School (Roseburg, OR)
Rosedale (Austin, TX)
Rosedale Center (Baltimore, MD)
Rosedale Colony Elementary - 11 (Mitchell, SD)
Rosedale Elementary (Oak Hill, WV)
Rosedale Middle (Bakersfield, CA)
Rosehill Christian School (Tomball, TX)
Rosehill El (Tomball, TX)
Roseland Charter (Santa Rosa, CA)
Roseland Montessori (Roseland, LA)
Roselawn High (Turlock, CA)
Roselle Park High School (Roselle Park, NJ)
Rosemary (Campbell, CA)
Rosemary Clarke Middle School (Pahrump, NV)
Rosemary Middle (Andrews, SC)
Rosemead High (Rosemead, CA)
Rosemont Academy (Miami, FL)
Rosemont Elementary (Orlando, FL)
Rosemont Elementary School (Lagrange, GA)
Rosemont High (Sacramento, CA)
Rosemont Middle (Fort Worth, TX)
Rosemont Middle (La Crescenta, CA)
Rosemount Area Learning Center (Apple Valley, MN)
Rosemount Senior High (Rosemount, MN)
Rosendale Intermediate (Rosendale, WI)
Rosendo Matienzo Cintron (Lajas, PR)
Rosenwald Elementary (Fairmont, NC)
Rosenwald Elementary School (New Roads, LA)
Rosenwald Elementary/Middle (Society Hill, SC)
Rosenwald High School (Panama City, FL)
Rosepine Elementary School (Rosepine, LA)
Rosepine High School (Rosepine, LA)
Roseville Adult High School (Roseville, MN)
Roseville Area Middle (Little Canada, MN)
Roseville Area Senior High (Roseville, MN)
Roseville Community Charter School (Newark, NJ)
Roseville High (Roseville, CA)
Roseville High School (Roseville, MI)
Rosewood High (Goldsboro, NC)
Rosewood Park (City Of Commerce, CA)
Rosholt Elementary - 02 (Rosholt, SD)
Rosholt High (Rosholt, WI)
Rosholt High School - 01 (Rosholt, SD)
Rosie Sorrells Education And Social Services H S (Dallas, TX)
Rosita Elementary (Santa Ana, CA)
Roskruge Bilingual Elementary School - Closed (Tucson, AZ)
Roslyn High School (Roslyn Heights, NY)
Roslyn Road Elem School (Barrington, IL)
Rosman High (Rosman, NC)
Ross (Lulu M.) Elementary School (Milford, DE)
Ross A. Lurgio Middle School (Bedford, NH)
Ross Beatty High School (Cassopolis, MI)
Ross Collins Voc Center (Meridian, MS)
Ross Corners Christian Academy (Vestal, NY)
Ross County Christian Academy (Chillicothe, OH)
Ross El (Houston, TX)
Ross El Sch (Pittsburgh, PA)
Ross Elem. (Portageville, MO)
Ross Elementary School (Kuna, ID)
Ross High School (Hamilton, OH)
Ross Middle (El Paso, TX)
Ross Middle (San Antonio, TX)
Ross Montessori School (Carbondale, CO)
Ross School (East Hampton, NY)
Ross School (Mosby, MT)
Rossford High School (Rossford, OH)
Rossier Park School (Buena Park, CA)
Rossmoyne El Sch (Mechanicsburg, PA)
Rossview High (Clarksville, TN)
Rossville Christian Academy (Rossville, TN)
Rossville Jr.-Sr. High School (Rossville, KS)
Rossville Middle/Senior High Sch (Rossville, IN)
Roswell Corrections (Hagerman, NM)
Roswell High (Roswell, NM)
Roswell High School (Roswell, GA)
Rotan K-12 (Rotan, TX)
Rotella Interdistrict Magnet School (Waterbury, CT)
Rothenberg Preparatory Academy (Cincinnati, OH)
Rothsay Secondary (Rothsay, MN)
Rothschild Elementary (Rothschild, WI)
Rothschild Leadership Academy School (Columbus, GA)
Rough Rock Community School (Chinle, AZ)
Roughrider Academy (Center, TX)
Round Grove Christian Academy (Miller, MO)
Round Lake Middle School (Round Lake Heights, IL)
Round Lake Senior High School (Round Lake, IL)
Round Lake-Brewster Elementary (Brewster, MN)
Round Mountain Elementary School (Round Mountain, NV)
Round Mountain High School (Round Mountain, NV)
Round Rock Christian Academy (Round Rock, TX)
Round Rock H S (Round Rock, TX)
Round Top-Carmine H S (Carmine, TX)
Round Valley (Lebanon, NJ)
Round Valley Continuation (Covelo, CA)
Round Valley High (Covelo, CA)
Round Valley High School (Eagar, AZ)
Roundup H S (Roundup, MT)
Rouse H S (Leander, TX)
Rousseau Mcclellan School 91 (Indianapolis, IN)
Routt Catholic High School (Jacksonville, IL)
Rover Elementary School (Tempe, AZ)
Rowan Avenue Elementary (Los Angeles, CA)
Rowan Co Early College (Salisbury, NC)
Rowan County Senior High School (Morehead, KY)
Rowan Middle School (Jackson, MS)
Rowe H S (Mc Allen, TX)
Rowe Middle School (Milwaukie, OR)
Rowland Assistive Technology Academy (La Puente, CA)
Rowland Avenue Elementary (West Covina, CA)
Rowland El (Victoria, TX)
Rowland Elementary (Rowland Heights, CA)
Rowland Hall (Salt Lake City, UT)
Rowland Unified Community Day (Rowland Heights, CA)
Rowlett El (Rowlett, TX)
Rowlett H S (Rowlett, TX)
Roxana Sr High School (Roxana, IL)
Roxboro Christian Academy (Roxboro, NC)
Roxboro Community School (Roxboro, NC)
Roxboro Middle School (Cleveland Heights, OH)
Roxboro Road Elementary School (Syracuse, NY)
Roxborough HS (Philadelphia, PA)
Roxbury Central School (Roxbury, NY)
Roxbury High School (Succasunna, NJ)
Roxbury Preparatory Charter School (Roxbury, MA)
Roy 6-8 (Roy, MT)
Roy A. Johnson High (Castro Valley, CA)
Roy Allen Elementary School (Melbourne, FL)
Roy Benavidez El (San Antonio, TX)
Roy C Ketcham Senior High School (Wappingers Falls, NY)
Roy Cisneros El (San Antonio, TX)
