1st Cerebral Palsy Of Nj (Belleville, NJ)
South Fork Jr Sr High School (Kincaid, IL)
South Fork Junior - Senior High (Miranda, CA)
South Forsyth High School (Cumming, GA)
South Forsyth Middle School (Cumming, GA)
South Fort Myers High School (Fort Myers, FL)
South Fremont High School (St Anthony, ID)
South Fremont Jr High (St Anthony, ID)
South Fulton Middle / High School (South Fulton, TN)
South Gallia High School (Crown City, OH)
South Garner High (Garner, NC)
South Gate Senior High (South Gate, CA)
South Gibson County High School (Medina, TN)
South Girard School (Phenix City, AL)
South Glens Falls Senior High School (South Glens Falls, NY)
South Grade Elementary School (Lake Worth, FL)
South Grand Prairie H S (Grand Prairie, TX)
South Granville High (Creedmoor, NC)
South Gray High (Montezuma, KS)
South Gray Jr High (Copeland, KS)
South Greene High School (Greeneville, TN)
South Grove Elementary School (Syosset, NY)
South Gwinnett High School (Snellville, GA)
South Hadley High (South Hadley, MA)
South Hagerstown High (Hagerstown, MD)
South Hall Middle School (Gainesville, GA)
South Hamilton El Sch (Chambersburg, PA)
South Hamilton Middle And High School (Jewell, IA)
South Hardin High School (Eldora, IA)
South Harnett Elementary (Bunnlevel, NC)
South Harrison Elementary School (Harrisonville, NJ)
South Harrison High (Bethany, MO)
South Harrison High School (Lost Creek, WV)
South Haven Christian School (Springfield, TN)
South Haven High (South Haven, KS)
South Haven High School (South Haven, MI)
South Heart High School (South Heart, ND)
South High (Bakersfield, CA)
South High (Manchester, MO)
South High (Sheboygan, WI)
South High (Torrance, CA)
South High (Waukesha, WI)
South High (Wichita, KS)
South High Community (Worcester, MA)
South High School (Cheyenne, WY)
South High School (Columbus, OH)
South High School (Denver, CO)
South High School (Fargo, ND)
South High School (Pueblo, CO)
South High School (Willoughby, OH)
South Highlands Elementary Magnet School (Shreveport, LA)
South Hill School (Ithaca, NY)
South Hills Academy (West Covina, CA)
South Hills El (Fort Worth, TX)
South Hills H S (Fort Worth, TX)
South Hills High (West Covina, CA)
South Holt High (Oregon, MO)
South Houston High School (So Houston, TX)
South Houston Int (So Houston, TX)
South Hunterdon Regional High School (Lambertville, NJ)
South Iredell High (Statesville, NC)
South Iron Elem. (Annapolis, MO)
South Iron High (Annapolis, MO)
South Jefferson High School (Adams, NY)
South Johnston High (Four Oaks, NC)
South Jones High School (Ellisville, MS)
South Jordan School (South Jordan, UT)
South Junior High School (Boise, ID)
South Kent School (South Kent, CT)
South Kilbourne Elementary (Columbia, SC)
South Kingstown High (Wakefield, RI)
South Kitsap High School (Port Orchard, WA)
South Knoll El (College Station, TX)
South Knox Middle-High School (Vincennes, IN)
South Kortright Central School (South Kortright, NY)
South Lafourche High School (Cutoff, LA)
South Lake Elementary (Titusville, FL)
South Lake Es (Oklahoma City, OK)
South Lake High School (Groveland, FL)
South Lake High School (Saint Clair Shores, MI)
South Lakes High (Reston, VA)
South Lakewood Elementary School (Lakewood, CO)
South Lamar School (Millport, AL)
South Lancaster Academy (South Lancaster, MA)
South Laurel High School (London, KY)
South Laurel Middle School (London, KY)
South Lawn El (Amarillo, TX)
South Lawrence Elementary (Loretto, TN)
South Lebanon Elementary School (Maineville, OH)
South Lenoir High (Deep Run, NC)
South Lewis High School (Turin, NY)
South Lewis Middle School (Turin, NY)
South Lexington Developmental Center (Lexington, NC)
South Lindhurst Continuation High (Olivehurst, CA)
South Live Oak Elementary School (Watson, LA)
South Lyon East High School (South Lyon, MI)
South Lyon High School (South Lyon, MI)
South Macon Elementary (Franklin, NC)
South Main Street Elementary School (Pleasantville, NJ)
South Meadow School (Peterborough, NH)
South Meadows Middle School (Hillsboro, OR)
South Mebane Elementary (Mebane, NC)
South Mecklenburg High School (Charlotte, NC)
South Medford High School (Medford, OR)
South Memorial (Peabody, MA)
South Merrimack Christian Academy (Merrimack, NH)
South Miami Heights Elementary (Miami, FL)
South Miami Senior High School (Miami, FL)
South Middle (Eau Claire, WI)
South Middle (Raytown, MO)
South Middle School (Braintree, MA)
South Middle School (Brockton, MA)
South Middle School (Cowan, TN)
South Middle School (Grand Forks, ND)
South Milwaukee High (South Milwaukee, WI)
South Mountain High School (Phoenix, AZ)
South Mountain Secure Trmnt Un (South Mountain, PA)
South Newton Senior High School (Kentland, IN)
South Nodaway High (Barnard, MO)
South O'Brien Secondary School (Paullina, IA)
South Oak Cliff H S (Dallas, TX)
South Oldham High School (Crestwood, KY)
South Oldham Middle School (Crestwood, KY)
South Orangetown Middle School (Blauvelt, NY)
South Orlando Christian Academy (Orlando, FL)
South Page Senior High School (College Springs, IA)
South Palm Gardens H S (Mercedes, TX)
South Panola High School (Batesville, MS)
South Park Academy (Draper, UT)
South Park Christian Academy (Saint Joseph, MO)
South Park Elem School (Deerfield, IL)
South Park Elementary - 16 (Rapid City, SD)
South Park Elementary (Memphis, TN)
South Park High School (Buffalo, NY)
South Park High School (Fairplay, CO)
South Park Ms (South Park, PA)
South Park Shs (South Park, PA)
South Pasadena Senior High (South Pasadena, CA)
South Paulding High School (Douglasville, GA)
South Pemiscot High (Steele, MO)
South Penn Elementary (Cumberland, MD)
South Philadelphia HS (Philadelphia, PA)
South Pike Alternative School (Magnolia, MS)
South Pike Career & Technical Cente (Magnolia, MS)
South Pike Senior High School (Magnolia, MS)
South Pines Elementary (Spokane Valley, WA)
South Pittsburg Elementary (South Pittsburg, TN)
South Pittsburg High School (South Pittsburg, TN)
South Plainfield High School (South Plainfield, NJ)
South Plantation High School (Plantation, FL)
South Plaquemines High School (Buras, LA)
South Platte High School (Big Springs, NE)
South Point High (Belmont, NC)
South Point High School (South Point, OH)
South Pointe Christian School (Pageland, SC)
South Pointe High (Rock Hill, SC)
South Pointe High School (Phoenix, AZ)
South Pontotoc High School (Pontotoc, MS)
South Portland High School (South Portland, ME)
South Prairie Elementary School (Sycamore, IL)
South Prairie High School (Minot, ND)
South Preston School (Tunnelton, WV)
South Providence (Waxhaw, NC)
South Putnam High School (Greencastle, IN)
South Range Elementary School (Canfield, OH)
South Range High School (Canfield, OH)
South Richmond High School Is/Ps 25 (Staten Island, NY)
South Ridge High School (Phoenix, AZ)
South Ridge Secondary (Culver, MN)
South Ripley High School (Versailles, IN)
South River Elementary School (Harrison Township, MI)
South River High (Edgewater, MD)
South River High School (South River, NJ)
South Rock Creek Public School (Shawnee, OK)
South Row (Chelmsford, MA)
South Rowan High (China Grove, NC)
South Salem High School (Salem, OR)
South San Antonio H S (San Antonio, TX)
South San Francisco High (South San Francisco, CA)
South Sanpete Education Support Center (Manti, UT)
South Seminole Middle School (Casselberry, FL)
South Seneca Middle/High School (Ovid, NY)
South Senior High (Minneapolis, MN)
South Sevier High (Monroe, UT)
South Shelby Elementary (Shelbina, MO)
South Shelby High (Shelbina, MO)
South Shore Charter Public School (Norwell, MA)
South Shore Christian Academy (Weymouth, MA)
South Shore Intl Col Prep HS (Chicago, IL)
South Shore Jr/Sr High (Port Wing, WI)
South Side Elementary (Johnson City, TN)
South Side Elementary School (Champaign, IL)
South Side Elementary School (Kendallville, IN)
South Side High School (Bee Branch, AR)
South Side High School (Fort Wayne, IN)
South Side High School (Jackson, TN)
South Side High School (Rockville Centre, NY)
South Side HS (Hookstown, PA)
South Sioux High School (So Sioux City, NE)
South Spencer High School (Rockport, IN)
South Spencer Middle School (Rockport, IN)
South St. Paul High School (South Saint Paul, MN)
South Stanly High (Norwood, NC)
South Stanly Middle (Norwood, NC)
South Stokes High School (Walnut Cove, NC)
South Street Elementary (Fitchburg, MA)
South Summit High (Kamas, UT)
South Summit School (Kamas, UT)
South Sumter High School (Bushnell, FL)
South Sutter Charter (East Nicolaus, CA)
South Tahoe High (South Lake Tahoe, CA)
South Tahoe Middle (South Lake Tahoe, CA)
South Tama County High School (Tama, IA)
South Tama County Middle School (Toledo, IA)
South Tamarind Elementary (Fontana, CA)
South Tattnall Middle School (Glennville, GA)
South Tech Academy (Boynton Beach, FL)
South Tech Preparatory Academy (Boynton Beach, FL)
South Technical (Sunset Hills, MO)
South Terrace Elementary (Carlton, MN)
South Terrebonne High School (Bourg, LA)
South Texas Christian Academy (Mcallen, TX)
South Texas Isd Health Professions (Mercedes, TX)
South Texas Isd Medical Professions (Olmito, TX)
South Texas Isd Rising Scholars Academy (San Benito, TX)
South Texas Isd Science Academy (Mercedes, TX)
South Texas Isd World Scholars (Edinburg, TX)
South Toe Elementary (Burnsville, NC)
South Umpqua High School (Myrtle Creek, OR)
South Union Elementary School (Des Moines, IA)
South Valley Academy (Albuquerque, NM)
South Valley Academy (Rogue River, OR)
South Valley High (Continuation) (Ukiah, CA)
South Valley Middle (Gilroy, CA)
South Valley School (West Jordan, UT)
South Verde Technology Magnet (Camp Verde, AZ)
South Vermillion High School (Clinton, IN)
South View High (Hope Mills, NC)
South View Middle (Hope Mills, NC)
South Walton Academy (Santa Rosa Beach, FL)
South Walton High School (Santa Rosa Beach, FL)
South Warren High School (Bowling Green, KY)
South Wasco County High School (Maupin, OR)
South Washington Alternative HS (Cottage Grove, MN)
South Webster Jr/Sr High School (South Webster, OH)
South Western Shs (Hanover, PA)
South Whidbey Academy (Langley, WA)
South Whidbey Elementary (Langley, WA)
South Whidbey High School (Langley, WA)
South Whidbey Middle (Langley, WA)
South Whidbey Special Services (Langley, WA)
South Williamsport Area Jshs (South Williamsport, PA)
South Windsor High School (South Windsor, CT)
South Winneshiek High School (Calmar, IA)
South Woods Elementary School (Elkton, FL)
South-Western Career Academy (Grove City, OH)
South/West Park Elementary (Tracy, CA)
Southampton Academy (Courtland, VA)
Southampton High (Courtland, VA)
Southampton High School (Southampton, NY)
Southampton Intermediate School (Southampton, NY)
Southampton Township School #2 (Southampton, NJ)
Southampton Township School #3 (Southampton, NJ)
Southark Career Center (El Dorado, AR)
Southaven High School (Southaven, MS)
Southbridge Academy (Southbridge, MA)
Southbridge High School (Southbridge, MA)
Southcrest Christian School (Lubbock, TX)
Southdale Elementary School (Cedar Falls, IA)
Southdale Elementary School (Kettering, OH)
Southdown Elementary School (Houma, LA)
Southdowns School (Baton Rouge, LA)
Southeast Area Elementary School (Chicago, IL)
Southeast Bulloch High School (Brooklet, GA)
Southeast Bulloch Middle School (Brooklet, GA)
Southeast Career Pathways (Grand Rapids, MI)
Southeast Career Technical Academy HS (Las Vegas, NV)
Southeast Christian Academy (Penfield, NY)
Southeast Correctional Center (Charleston, MO)
Southeast Edlp At Dundalk High School (Towson, MD)
Southeast El Sch (Lebanon, PA)
Southeast Elem. (Sikeston, MO)
Southeast Elementary School (Brighton, CO)
Southeast Elementary School (Waverly, IA)
Southeast Guilford High (Greensboro, NC)
Southeast Guilford Middle (Greensboro, NC)
Southeast Halifax Collegiate Prep Academ (Halifax, NC)
Southeast High (Cherokee, KS)
Southeast High (Wichita, KS)
Southeast High School (Bradenton, FL)
Southeast High School (Kansas City, MO)
Southeast High School (Ravenna, OH)
Southeast High School (Yoder, WY)
Southeast HS (Oklahoma City, OK)
Southeast Idaho Professional Technical School (Malad City, ID)
Southeast Intermediate Elementary School (Ravenna, OH)
Southeast Kentucky Academy (Corbin, KY)
Southeast Lauderdale High School (Meridian, MS)
Southeast Lauderdale Middle School (Meridian, MS)
Southeast Learning Center (Decatur, IL)
Southeast Middle (South Gate, CA)
Southeast Middle (St Louis, MO)
Southeast Polk High School (Pleasant Hill, IA)
Southeast Raleigh High (Raleigh, NC)
Southeast Saline High (Gypsum, KS)
Southeast Valley High School (Gowrie, IA)
Southeast Warren Jr-Sr High School (Liberty Center, IA)
Southeast Whitfield County High School (Dalton, GA)
Southeastern Autism Academy (Wilmington, NC)
Southeastern Career Center (Versailles, IN)
Southeastern Elementary School (Bowen, IL)
Southeastern High School (Chillicothe, OH)
Southeastern High School (Detroit, MI)
Southeastern High School (Miami Lakes, FL)
Southeastern Jr/Sr High School (Augusta, IL)
Southeastern Regional Vocational Technical (South Easton, MA)
Southeastern School (Remlap, AL)
Southeastern Sr. High School (South Charleston, OH)
Southeastern Stokes Middle School (Walnut Cove, NC)
Southeastern Va Tr Ctr Ep (Chesapeake, VA)
Southern Academy (Greensboro, AL)
Southern Alamance High (Graham, NC)
Southern Arizona Community Academy (Tucson, AZ)
Southern Avenue Charter School Of Academic Excellence Creat (Memphis, TN)
Southern Boone Elem. (Ashland, MO)
Southern Boone High (Ashland, MO)
Southern California Roc (Torrance, CA)
Southern Cayuga 7-12 Secondary School (Aurora, NY)
Southern Choctaw High School (Gilbertown, AL)
Southern Christian Preparatory Academy (Birmingham, AL)
Southern Coffey County Elementary (Gridley, KS)
Southern Coffey County High School (Leroy, KS)
Southern Columbia HS (Catawissa, PA)
Southern Door High (Brussels, WI)
Southern Door Middle (Brussels, WI)
Southern El Sch (Glen Rock, PA)
Southern Elementary School (Falmouth, KY)
Southern Elementary School (New Castle, DE)
Southern Fulton Jshs (Warfordsburg, PA)
Southern Garrett High School (Oakland, MD)
Southern Guilford High (Greensboro, NC)
Southern High (Harwood, MD)
Southern High (Louisville, KY)
Southern High School (Racine, OH)
Southern High School (Santa Rita, GU)
Southern Hills Career Technical Center (Georgetown, OH)
Southern Hills Elementary School (Shreveport, LA)
Southern Hills Es (Oklahoma City, OK)
Southern Humboldt Community (Garberville, CA)
Southern Huntingdon Co HS/Ms (Three Springs, PA)
Southern Ind Career And Tech Cent (Evansville, IN)
Southern Jr-Sr High School (Wymore, NE)
Southern Kentucky Early Cca (Albany, KY)
Southern Lee High School (Sanford, NC)
Southern Lehigh Intermediate Sch (Bethlehem, PA)
Southern Lehigh Shs (Center Valley, PA)
Southern Local Jr/Sr High School (Salineville, OH)
Southern Michigan Center For Science Industry Smcsi (Hudson, MI)
Southern Middle School (Oakland, MD)
Southern Middle School (Somerset, KY)
Southern Ms (Glen Rock, PA)
Southern Nash High (Bailey, NC)
Southern Nm Corrections (Las Cruces, NM)
Southern Oaks Elementary School (Utica, KY)
Southern Oregon Success Academy (Merlin, OR)
Southern Plains Area Learning Cntr. (Fairmont, MN)
Southern Plains Bridges (Fairmont, MN)
Southern Plains Education Coop. (Fairmont, MN)
Southern Rch (Egg Harbor City, NJ)
Southern Regional High School (Manahawkin, NJ)
Southern School Of Energy And Sustainabi (Durham, NC)
Southern Tier Catholic School (Olean, NY)
Southern Trinity High (Mad River, CA)
Southern University Lab School (Baton Rouge, LA)
Southern University Laboratory Virtual School (Baton Rouge, LA)
Southern Valley Jr/Sr High (Oxford, NE)
Southern View Elem School (Springfield, IL)
Southern Wake Academy (Holly Springs, NC)
Southern Wayne High (Dudley, NC)
Southern Wells Elementary School (Poneto, IN)
Southern Wells Jr-Sr High School (Poneto, IN)
Southfield Christian School (Southfield, MI)
Southfield High School For The Arts And Technology (Southfield, MI)
Southfield Regional Academic Campus (Southfield, MI)
Southgate Academy (Tucson, AZ)
Southgate Anderson High School (Southgate, MI)
Southington High School (Southington, CT)
Southington Middle School (Southington, OH)
Southlake Christian Academy (Huntersville, NC)
Southland Academy (Americus, GA)
Southland Christian School (Kissimmee, FL)
Southland College Prep Charter High School (Richton Park, IL)
Southland Elem. (Cardwell, MO)
Southland High (Cardwell, MO)
Southland School (Southland, TX)
Southland Senior High (Adams, MN)
Southlands Christian Schools (Rowland Heights, CA)
Southmont Sr High School (Crawfordsville, IN)
Southmoore HS (Moore, OK)
Southmoreland Shs (Alverton, PA)
Southmost El (Brownsville, TX)
Southold Junior-Senior High School (Southold, NY)
Southpoint Academy (Homestead, FL)
Southpointe Adult High (West Jordan, UT)
Southport Central School (Southport, ME)
Southport Christian School (Southport, NC)
Southport Elementary (Kenosha, WI)
Southport High School (Indianapolis, IN)
Southport Middle School (Indianapolis, IN)
Southridge High School (Beaverton, OR)
Southridge High School (Huntingburg, IN)
Southridge High School (Kennewick, WA)
Southridge Jhs (Oklahoma City, OK)
Southside Academy (Youngstown, OH)
Southside Alternative High School (Monroe, LA)
Southside Baptist Church & Christian School (Waycross, GA)
Southside Charter High School (Batesville, AR)
Southside Christian School (Clayton, NC)
Southside Christian School (Simpsonville, SC)
Southside El (Angleton, TX)
Southside El (Mabank, TX)
Southside Elementary (Pulaski, TN)
Southside Elementary School (Denham Springs, LA)
Southside Elementary School (Fernandina Beach, FL)
Southside Elementary School (Southside, AL)
Southside Elementary School (Starke, FL)
Southside Elementary School (Versailles, KY)
Southside Es (Coweta, OK)
Southside H S (San Antonio, TX)
Southside High (Chocowinity, NC)
Southside High (Greenville, SC)
Southside High School (Fort Smith, AR)
Southside High School (Selma, AL)
Southside High School (Southside, AL)
Southside High School (Youngsville, LA)
Southside Middle School (Manchester, NH)
Southside Middle School (Muncie, IN)
Southside Middle School (Tallassee, AL)
Southside Occupational Acad HS (Chicago, IL)
Southside School (Morrison, IL)
Southside Special Educ School (Niles, MI)
Southside Stem Academy At Campostella (Norfolk, VA)
Southside Technical Center (Lexington, KY)
Southside Va Training Ctr (Petersburg, VA)
Southview Christian School (Statesville, NC)
Southview Elem. (Kearney, MO)
Southview Elementary (Chippewa Falls, WI)
Southview Elementary (Waconia, MN)
Southview Elementary School (Tuscaloosa, AL)
Southview High (Crestwood, MO)
Southview Middle School (Ankeny, IA)
Southview Middle School (Lorain, OH)
Southwest Atlanta Christian Academy (Atlanta, GA)
Southwest Campus (Buckeye, AZ)
Southwest Career & Technical Academy HS (Las Vegas, NV)
Southwest Career Technology Center (Memphis, TN)
Southwest Christian Academy (Little Rock, AR)
Southwest Christian High School (Chaska, MN)
Southwest Christian School (Beaverton, OR)
Southwest Christian School (Fort Worth, TX)
Southwest Colorado Eschool (Durango, CO)
Southwest Community High School (Dickinson, ND)
Southwest Dekalb High School (Decatur, GA)
Southwest Edgecombe High (Pinetops, NC)
Southwest Edlp At Woodlawn High School (Towson, MD)
Southwest Educational Academy (Cedar City, UT)
Southwest El Sch (Lebanon, PA)
Southwest Elem School (Evergreen Park, IL)
Southwest Elementary (Clemmons, NC)
Southwest Elementary (High Point, NC)
Southwest Elementary School (Howell, MI)
Southwest Elementary School (Lexington, NC)
Southwest Elementary-Indianola (Indianola, NE)
Southwest Es (Clinton, OK)
Southwest Florida Christian Academy (Fort Myers, FL)
Southwest Georgia Academy (Damascus, GA)
Southwest Georgia Institute Of Education (Albany, GA)
Southwest Guilford High (High Point, NC)
Southwest H S (Fort Worth, TX)
Southwest H S (San Antonio, TX)
Southwest High (El Centro, CA)
Southwest High (Green Bay, WI)
Southwest High (Jacksonville, NC)
Southwest High (Saint George, UT)
Southwest High (Washburn, MO)
Southwest High School - Sws (Minneapolis, MN)
Southwest High School (Lincoln, NE)
Southwest High School (Macon, GA)
Southwest Indian Schools/Living Word Academy (Peoria, AZ)
Southwest Jr/Sr High School (Bartley, NE)
Southwest Key (Combes, TX)
Southwest Key Transitional Learning Center (Phoenix, AZ)
Southwest Leadership Academy (Phoenix, AZ)
Southwest Legacy H S (Von Ormy, TX)
Southwest Livingston Co R-1 El (Ludlow, MO)
Southwest Livingston Co R-1 HS (Ludlow, MO)
Southwest Miami Senior High (Miami, FL)
Southwest Middlehigh School (Grand Rapids, MI)
Southwest Mn Christian Schools (Edgerton, MN)
Southwest Open Charter School (Cortez, CO)
Southwest Preparatory Learning Center (Albuquerque, NM)
Southwest Preparatory School-Northwest (San Antonio, TX)
Southwest Preparatory Southeast Campus (San Antonio, TX)
Southwest Region (Yuma, AZ)
Southwest Secondary Learning Center (Albuquerque, NM)
Southwest Senior High (Minneapolis, MN)
Southwest Senior High (San Diego, CA)
Southwest Tech (Bennington, VT)
Southwest Texas High School (San Marcos, TX)
Southwest Valley High School (Corning, IA)
Southwest Youth And Family Services (Seattle, WA)
Southwestern Academy (Rimrock, AZ)
Southwestern Classical Academy (Flint, MI)
Southwestern Elementary School (Jamestown, NY)
Southwestern Heights Jr/Sr High (Kismet, KS)
Southwestern High School (Hanover, IN)
Southwestern High School (Piasa, IL)
Southwestern High School (Shelbyville, IN)
Southwestern High School (Somerset, KY)
Southwestern Randolph High School (Asheboro, NC)
Southwestern Senior High School (Jamestown, NY)
Southwestern Va Mental Health Institute (Marion, VA)
Southwestern Wisconsin Community Middle (Hazel Green, WI)
Southwestern Wisconsin High (Hazel Green, WI)
Southwestern Youth Services (Magnolia, MN)
Southwick Regional School (Southwick, MA)
Southwick School (Northfield, NH)
Southwind High (Memphis, TN)
Southwinds Academy (Otis, KS)
Southwood Elem. (Raytown, MO)
Southwood Elementary (Grand Rapids, MI)
Southwood High School (Shreveport, LA)
Southwood Jr-Sr High School (Wabash, IN)
Southwood School (Bridgeville, PA)
Southwood School (Canonsburg, PA)
Southworth Elementary (Yelm, WA)
Sowams Elementary School (Barrington, RI)
Sowers Alternative High School (Wichita, KS)
Sp Ed Co-Op (Crosbyton, TX)
Space Coast Christian Academy (Cocoa, FL)
Space Coast Christian Academy (New Smyrna Beach, FL)
Space Coast Junior/Senior High School (Cocoa, FL)
Spackenkill High School (Poughkeepsie, NY)
Spain Park High School (Hoover, AL)
Spalding Academy (Spalding, NE)
Spalding High School (Griffin, GA)
Spanaway Lake High School (Spanaway, WA)
Spanish Fork High (Spanish Fork, UT)
Spanish Fort High School (Spanish Fort, AL)
Spanish Lake Campus (St Louis, MO)
Spanish Lake Elementary School (Hialeah, FL)
Spanish River Community High School (Boca Raton, FL)
Spanish Springs High School (Sparks, NV)
Sparhawk School Inc (Amesbury, MA)
Spark Alc (Bradenton, FL)
Sparkman Elementary School (Hartselle, AL)
Sparkman High School (Harvest, AL)
Sparkman High School (Sparkman, AR)
Sparkman K-12 School (Sparkman, AR)
Sparkman Ninth Grade School (Harvest, AL)
Sparks El (Frisco, TX)
Sparks Elementary (La Puente, CA)
Sparks High School (Sparks, NV)
Sparrow Academy (Lakeland, FL)
Sparrows Point High (Sparrows Point, MD)
Sparrows Point Middle (Baltimore, MD)
Sparta Alternative Independent Learning School (Sparta, WI)
Sparta High (Sparta, MO)
Sparta High (Sparta, WI)
Sparta High Point School (Sparta, WI)
Sparta High School (Sparta, IL)
Sparta High School (Sparta, NJ)
Sparta Meadowview Middle (Sparta, WI)
Sparta Mennonite School (Sparta, WI)
Sparta Middle (Sparta, MO)
Sparta Senior High School (Sparta, MI)
Spartanburg Day School (Spartanburg, SC)
Spartanburg High (Spartanburg, SC)
Spaulding Elementary School (Goshen, OH)
Spaulding High School (Rochester, NH)
Spaulding School (Midlothian, IL)
Spaulding Union High School (Barre, VT)
Spearfish Academy At Canyon Hills High School - 10 (Spearfish, SD)
Spearfish High School - 01 (Spearfish, SD)
Spearman H S (Spearman, TX)
Spears El (Frisco, TX)
Spearville Jr/Sr High (Spearville, KS)
Spec Rafael Hernando Middle (El Paso, TX)
Spec. Educ. Atc (Ogden, UT)
Special Acres School (Park Hills, MO)
Special Ed School (Auburn, WA)
Special Ed School (Enumclaw, WA)
Special Ed-Non Public (Edina, MN)
Special Ed. (Saint Louis Park, MN)
Special Ed. (St Louis Park, MN)
Special Ed. N.P. (Duluth, MN)
Special Education (Kelso, WA)
Special Education (Mankato, MN)
Special Education (Mendota Heights, MN)
Special Education (Placerville, CA)
Special Education (Port Angeles, WA)
Special Education (South Lyon, MI)
Special Education (Visalia, CA)
Special Education And Student Services (Jacksonville, IL)
Special Education Building (Brownstown, MI)
Special Education Center (Columbus, OH)
Special Education Facilities (Waite Park, MN)
Special Education Preschool (King City, CA)
Special Education Preschool (Santa Cruz, CA)
Special Education School (Wenatchee, WA)
Special Education Services (Flint, MI)
Special Education Services/Relife (Lakewood, WA)
Special Education-Infant/Preschool Program (Los Angeles, CA)
Special Kids Academy - Seminole (Seminole, FL)
Special Music School (New York, NY)
Special Needs School Of Gwinnett (Lawrenceville, GA)
Special Prog Ctr/J J A E P (Mckinney, TX)
Special Prog Ctr/Jjaep (Mckinney, TX)
Special Programs (Poulsbo, WA)
Special Programs (Richland, WA)
Special Services (Clarkston, WA)
Special Services (Dickson, TN)
Special Services (Everett, WA)
Special Services (Tacoma, WA)
Special Services Center (Idaho Falls, ID)
Spectrum Academy - Nsl (North Salt Lake, UT)
Spectrum Academy - Pleasant Grove (Pleasant Grove, UT)
Spectrum Academy (Stuart, FL)
Spectrum Center - Solano (Fairfield, CA)
Spectrum Center - Tara Hills (San Pablo, CA)
Spectrum Center (Oakland, CA)
Spectrum Center Schools And Programs (Chino Hills, CA)
Spectrum Center- Antioch Campus (Antioch, CA)
Spectrum Center- Long Beach Middle Market Street (Long Beach, CA)
Spectrum Center-San Jose (San Jose, CA)
Spectrum Center, Inc.-Mission Valley Campus (Hayward, CA)
Spectrum Cs (Monroeville, PA)
Spectrum High School (Elk River, MN)
Spectrum Middle School - Grades 7-8 (Elk River, MN)
Speech & Language Development Center (Buena Park, CA)
Speed Early Learning Center (Chicago Heights, IL)
Speed Independence Elem Sch (Chicago Heights, IL)
Speedway Senior High School (Speedway, IN)
Speiro Academy (Martins Ferry, OH)
Spence School (New York, NY)
Spencer Center For Gifted And Exceptional Students (Cincinnati, OH)
Spencer County Elementary School (Taylorsville, KY)
Spencer County High School (Taylorsville, KY)
Spencer Elementary (Spencer, WI)
Spencer High School (Columbus, GA)
Spencer High School (Spencer, IA)
Spencer Junior High/High (Spencer, WI)
Spencer Loomis Elementary School (Hawthorn Woods, IL)
Spencer Middle School (Spencer, WV)
Spencer-Van Etten High School (Spencer, NY)
Spencerport High School (Spencerport, NY)
Spencerville Adventist Academy (Spencerville, MD)
Spencerville High School (Spencerville, OH)
Spencerwestlawn Elementary School (Mobile, AL)
Spero Academy (Minneapolis, MN)
Sperry HS (Sperry, OK)
Spessard L. Holland Elementary School (Satellite Beach, FL)
Sphinx Academy (Lexington, KY)
Spicer Alter Ed Ctr (Bellville, TX)
Spicewood Park El (San Antonio, TX)
Spillane Middle (Cypress, TX)
Spiller Elem (Wytheville, VA)
Spinning Elementary (Puyallup, WA)
Spire Academy (Geneva, OH)
Spirit Academy (Orange, CA)
Spirit Lake High School (Spirit Lake, IA)
Spirit Lake Middle School (Spirit Lake, IA)
Spirit Of Life Christian Academy (Clinton, NC)
Spiro HS (Spiro, OK)
Spiro Ms (Spiro, OK)
Splendora H S (Splendora, TX)
Spokane Area Professional-Technical Skills Center (Spokane, WA)
Spokane County Jail (Spokane, WA)
Spokane High (Spokane, MO)
Spokane Public Montessori (Spokane, WA)
Spokane Valley High School (Spokane, WA)
Spokane Valley Tech Skills Center (Spokane Valley, WA)
Spoon River Valley Sr High Sch (London Mills, IL)
Spooner High (Spooner, WI)
Spooner Middle (Spooner, WI)
Sport And Medical Sciences Academy (Hartford, CT)
Sporting Hill El Sch (Mechanicsburg, PA)
Sports Leadership And Management Academy (Henderson, NV)
Sports Leadership And Management Academy (Tampa) (Tampa, FL)
Sports Leadership Of Miami Charter High School (Miami, FL)
Spoto High School (Riverview, FL)
Spotswood Elem (Fredericksburg, VA)
Spotswood Elem (Harrisonburg, VA)
Spotswood High (Penn Laird, VA)
Spotswood High School (Spotswood, NJ)
Spotsylvania High (Spotsylvania, VA)
Sprague Elementary (Sprague, WA)
Sprague High School (Salem, OR)
Sprague High School (Sprague, WA)
Spray School (Spray, OR)
Sprayberry High School (Marietta, GA)
Spring Academy (Gilroy, CA)
Spring Academy (Seattle, WA)
Spring Branch Ed Ctr (Houston, TX)
Spring City Elementary (Spring City, TN)
Spring Cove Ms (Roaring Spring, PA)
Spring Creek Academy (Plano, TX)
Spring Creek Christian Academy (Spring Creek, NV)
Spring Creek Colony Schl (Lewistown, MT)
Spring Creek Community School (Brooklyn, NY)
Spring Creek Elementary School (Eugene, OR)
Spring Creek High (Seven Springs, NC)
Spring Creek High School (Spring Creek, NV)
Spring Creek School (Powderville, MT)
Spring Creek Youth Services Center (Colorado Springs, CO)
Spring Early College Academy (Houston, TX)
Spring Forge Intrd Sch (Manchester, PA)
Spring Garden High School (Spring Garden, AL)
Spring Garden Middle (St Joseph, MO)
Spring Garden Middle School (Ina, IL)
