18+ Program (Hastings, NE)
Piedmont Reg Ed/Ivy Creek (Charlottesville, VA)
Piedra Vista High (Farmington, NM)
Pieper H S (San Antonio, TX)
Pierce City High (Pierce City, MO)
Pierce County High School (Blackshear, GA)
Pierce County Skills Center (Puyallup, WA)
Pierce Hammock Elementary School (Loxahatchee, FL)
Pierce High (Arbuckle, CA)
Pierce Jr/Sr High School (Pierce, NE)
Pierce Park Elementary School (Boise, ID)
Pierce School (Flint, MI)
Pierceton Woods Academy (Pierceton, IN)
Pierpont Elementary (Ventura, CA)
Pierrepont School (Westport, CT)
Pierson High School (Nogales, AZ)
Pierson Middle/High School (Sag Harbor, NY)
Pierz Alternative Program (Pierz, MN)
Pietzsch/Mac Arthur El (Beaumont, TX)
Pigeon Forge High School (Pigeon Forge, TN)
Pigeon River Elementary (Sheboygan, WI)
Piggott High School (Piggott, AR)
Pike Central High School (Petersburg, IN)
Pike Christian Academy (Waverly, OH)
Pike County Alternative Learning Center (Troy, AL)
Pike County Central High School (Pikeville, KY)
Pike County Christian Academy (Pittsfield, IL)
Pike County Elementary School (Brundidge, AL)
Pike County High School (Brundidge, AL)
Pike County High School (Zebulon, GA)
Pike High School (Indianapolis, IN)
Pike Liberal Arts School (Troy, AL)
Pike Road High School (Pike Road, AL)
Pike Valley High (Scandia, KS)
Pike-Delta-York High School (Delta, OH)
Pike/Lincoln Technical Ctr. (Eolia, MO)
Pikes Peak Early College (Colorado Springs, CO)
Pikes Peak Online School (Westminster, CO)
Pikesville High (Baltimore, MD)
Piketon Jr/Sr High School (Piketon, OH)
Pikeview High School (Princeton, WV)
Pikeville Elementary School (Pikeville, KY)
Pikeville High School (Pikeville, KY)
Pilarcitos Alternative High (Continuation) (Half Moon Bay, CA)
Pilgrim Academy (Houston, TX)
Pilgrim Christian School (Hutchinson, KS)
Pilgrim Christian School (Lima, OH)
Pilgrim Christian School (Stuarts Draft, VA)
Pilgrim High School (Warwick, RI)
Pilgrim School (Los Angeles, CA)
Pillager Area Charter School (Pillager, MN)
Pillager Elementary (Pillager, MN)
Pillager Senior High School (Pillager, MN)
Pillar Academy Of Business & Finance (Mohave Valley, AZ)
Pillar Academy Online (Phoenix, AZ)
Pillar High School (Former Horizon High School) (Livingston, NJ)
Pillow Academy (Greenwood, MS)
Pillow El (Austin, TX)
Pilot Butte Elementary (Rock Springs, WY)
Pilot Grove High (Pilot Grove, MO)
Pilot Point El (Pilot Point, TX)
Pilot Point H S (Pilot Point, TX)
Pilot Point School (Pilot Point, AK)
Pilot Rock High School (Pilot Rock, OR)
Pilot Station School (Pilot Station, AK)
Pilsen Elem Community Academy (Chicago, IL)
Pim Arts High School (Eden Prairie, MN)
Pima County At Walden Grove (Sahuarita, AZ)
Pima County Jted (Tucson, AZ)
Pima County Jted Annex (Tucson, AZ)
Pima County Jted At Amphi Land Lab (Tucson, AZ)
Pima County Jted At Camino Seco (Tucson, AZ)
Pima County Jted At Empire (Tucson, AZ)
Pima County Jted At Flowing Wells (Tucson, AZ)
Pima County Jted At Indian Oasis (Tucson, AZ)
Pima County Jted At Santa Rita (Tucson, AZ)
Pima County Jted At Star (Tucson, AZ)
Pima County Jted Cosmetology (Tucson, AZ)
Pima County Jted Nw Campus (Tucson, AZ)
Pima County Schools Superintendent'S Diploma Program (Tucson, AZ)
Pima Elementary School (Pima, AZ)
Pima High School (Pima, AZ)
Pima Partnership School The (Tucson, AZ)
Pima Prevention Partnership-Tucson (Tucson, AZ)
Pima Rose Academy (Tucson, AZ)
Pima Vocational High School (Tucson, AZ)
Pimlico Elementary/Middle (Baltimore, MD)
Pimmit Ec Resource Ctr (Falls Church, VA)
Pin Oak Middle (Bellaire, TX)
Pinar Elementary (Orlando, FL)
Pinckney Community High School (Pinckney, MI)
Pinckneyville Comm High School (Pinckneyville, IL)
Pinckneyville Elem School (Pinckneyville, IL)
Pinckneyville Middle School (Peachtree Corners, GA)
Pinckneyville Middle School (Pinckneyville, IL)
Pinconning High School (Pinconning, MI)
Pine Acres Early Childhood Center (Wenonah, NJ)
Pine Beach Elementary School (Pine Beach, NJ)
Pine Bluff High School (Pine Bluff, AR)
Pine Bluff Lighthouse Academy (Pine Bluff, AR)
Pine Bluff Lighthouse College Prep Academy High School (Pine Bluff, AR)
Pine Bluffs Jr & Sr High School (Pine Bluffs, WY)
Pine Bush Elementary School (Pine Bush, NY)
Pine Bush Senior High School (Pine Bush, NY)
Pine Castle Christian Academy (Orlando, FL)
Pine City Area Learning Center (Pine City, MN)
Pine City School (Pine City, NY)
Pine City Secondary (Pine City, MN)
Pine Creek High School (Colorado Springs, CO)
Pine Eagle Charter School (Halfway, OR)
Pine Elem/Jr High School (Pine, ID)
Pine Elementary School (Michigan City, IN)
Pine Forest Elementary School (Jacksonville, FL)
Pine Forest Elementary School (Maumelle, AR)
Pine Forest High (Fayetteville, NC)
Pine Forest High School (Pensacola, FL)
Pine Forge Academy (Pine Forge, PA)
Pine Forge El Sch (Boyertown, PA)
Pine Grove Area HS (Pine Grove, PA)
Pine Grove Elementary (Santa Maria, CA)
Pine Grove Elementary School (Delray Beach, FL)
Pine Grove High School (Ripley, MS)
Pine Grove Learning Center (Wyoming, MI)
Pine Grove Middle School (East Syracuse, NY)
Pine Grove Middle School (Valdosta, GA)
Pine Grove School (Avon, CT)
Pine Grove Youth Conservation Camp (Pine Grove, CA)
Pine Haven Elementary (Jamestown, TN)
Pine Hill Middle School (Pine Hill, NJ)
Pine Hill Schools (Pine Hill, NM)
Pine Hills Adventist Academy (Auburn, CA)
Pine Hills Youth Corr Facil HS (Miles City, MT)
Pine Hollow Middle (Raleigh, NC)
Pine Island Elementary (Pine Island, MN)
Pine Island Elementary School (Bokeelia, FL)
Pine Island High School Alp (Pine Island, MN)
Pine Island Secondary (Pine Island, MN)
Pine Jog Elementary School (West Palm Beach, FL)
Pine Lake Preparatory (Mooresville, NC)
Pine Meadow Primary School (Sartell, MN)
Pine Point Elementary (Ponsford, MN)
Pine Prairie High School (Pine Prairie, LA)
Pine Ridge Alternative Center (Fort Lauderdale, FL)
Pine Ridge Elementary School (Clermont, FL)
Pine Ridge Elementary School (Ellerslie, GA)
Pine Ridge High School (Deltona, FL)
Pine Ridge Job Corps (Chadron, NE)
Pine Ridge Middle (West Columbia, SC)
Pine Ridge School (Pine Ridge, SD)
Pine River Area High School (Leroy, MI)
Pine River-Backus Area Learning Ctr (Pine River, MN)
Pine River-Backus Elementary (Pine River, MN)
Pine River-Backus High School (Pine River, MN)
Pine Run El Sch (New Britain, PA)
Pine School (Franklinton, LA)
Pine School (North Olmsted, OH)
Pine Strawberry Elementary School (Pine, AZ)
Pine To Prairie Coop. Ctr. (Red Lake Falls, MN)
Pine Tree Academy (Freeport, ME)
Pine Tree Daep (Longview, TX)
Pine Tree Elementary School (Kent, WA)
Pine Tree H S (Longview, TX)
Pine Valley Central Junior-Senior High School (South Dayton, NY)
Pine Valley Middle (Pine Valley, CA)
Pine View Elementary School (Land O Lakes, FL)
Pine View High (St George, UT)
Pine View School (Osprey, FL)
Pine-Richland HS (Gibsonia, PA)
Pineapple Cove Classical Academy (Palm Bay, FL)
Pinecreek El Sch (Brookville, PA)
Pinecrest Academy (Cumming, GA)
Pinecrest Academy Avalon (Orlando, FL)
Pinecrest Academy Of Nevada Cadence (Henderson, NV)
Pinecrest Creek Charter (Orlando, FL)
Pinecrest Elementary School (Miami, FL)
Pinecrest Elementary/Middle School (West Monroe, LA)
Pinecrest Glades Preparatory Academy Middle High School (Miami, FL)
Pinecrest High (Southern Pines, NC)
Pinecrest Lakes Middle/High Academy (Clermont, FL)
Pinecrest Preparatory Academy Charter High School (Miami, FL)
Pinecrest Preparatory Charter (Orlando, FL)
Pinecrest School (Hale, MI)
Pinecrest Supports & Services Center (Pineville, LA)
Pinedale High School (Pinedale, WY)
Pinedale Middle School (Pinedale, WY)
Pinehaven Christian Childrens Ranch And School (Saint Ignatius, MT)
Pinehill Alternative High School (Columbia, LA)
Pinehurst Early Elementary (Mount Morris, MI)
Pinehurst Elementary (Pinehurst, NC)
Pineland Learning Center, Inc. (Vineland, NJ)
Pinelands Regional High School (Little Egg Harbor, NJ)
Pinellas Academy Of Math And Science (Largo, FL)
Pinellas Central Elementary School (Pinellas Park, FL)
Pinellas County Jail (Clearwater, FL)
Pinellas Gulf Coast Academy (Largo, FL)
Pinellas Mycroschool Of Integrated Academics And Technologie (St Petersburg, FL)
Pinellas Park Elementary School (Pinellas Park, FL)
Pinellas Park High School (Largo, FL)
Pinellas Secondary School (Pinellas Park, FL)
Pinellas Teleschool (Clearwater, FL)
Pinellas Virtual Franchise (Largo, FL)
Pinellas Virtual Instruction (Course Offerings) (Clearwater, FL)
Pinellas Virtual Instruction Program (Largo, FL)
Pinellas Virtual K-12 (St. Petersburg, FL)
Piner High (Santa Rosa, CA)
Pines School - Acs (Lino Lakes, MN)
Pines School - Nsp (Lino Lakes, MN)
Pines School - Rjc (Lino Lakes, MN)
Pines School Day Program (Lino Lakes, MN)
Pineview Elementary (Casper, WY)
Pineview Elementary (Iowa Falls, IA)
Pineview Elementary School (Tallahassee, FL)
Pineview Homes (Evart, MI)
Pineville Elem. (Pineville, MO)
Pineville Elementary School (Pass Christian, MS)
Pineville Elementary School (Pineville, LA)
Pineville High School (Pineville, LA)
Pineville Independent School (Pineville, KY)
Pinewood Avenue Elementary (Tujunga, CA)
Pinewood Christian Academy (Bellville, GA)
Pinewood Elementary (Monticello, MN)
Pinewood Elementary (Mount Holly, NC)
Pinewood Elementary School (Eagle Lake, FL)
Pinewood Preparatory School (Summerville, SC)
Piney Branch Elementary (Takoma Park, MD)
Piney Creek Elementary (Piney Creek, NC)
Piney Grove Academy (Lauderdale Lakes, FL)
Piney Woods El (Splendora, TX)
Pineywoods Community Academy H S (Lufkin, TX)
Pingree School (South Hamilton, MA)
Pingree-Buchanan Elementary School (Buchanan, ND)
Pingree-Buchanan High School (Pingree, ND)
Pink School (Marsland, NE)
Pinkerton Academy (Derry, NH)
Pinkerton El (Coppell, TX)
Pinkston Street Elementary (Henderson, NC)
Pinnacle Academy (Bradenton, FL)
Pinnacle Academy Inc. (Bradenton, FL)
Pinnacle Canyon Academy (Price, UT)
Pinnacle Charter High School (Mesa, AZ)
Pinnacle Charter High School (Nogales, AZ)
Pinnacle Classical Academy (Little Rock, AR)
Pinnacle Classical Academy (Shelby, NC)
Pinnacle Elementary School (Pinnacle, NC)
Pinnacle High School - Casa Grande (Casa Grande, AZ)
Pinnacle High School - Tempe (Tempe, AZ)
Pinnacle High School (Phoenix, AZ)
Pinnacle Int (Amarillo, TX)
Pinnacle Online - Wmcb (Mesa, AZ)
Pinnacle Online High School (Tempe, AZ)
Pinnacle Peak Preparatory (Scottsdale, AZ)
Pinnacle Programs Southwestern Yout (Magnolia, MN)
Pinnacle View High School (Little Rock, AR)
Pinnacle View Middle School (Little Rock, AR)
Pinnacles Community (Hollister, CA)
Pinnacles High (Soledad, CA)
Pinole Valley High (Pinole, CA)
Pinon Accelerated Middle School (Pinon, AZ)
Pinon High School (Pinon, AZ)
Pinon Mesa Middle (Phelan, CA)
Pinson Valley High School (Pinson, AL)
Pioneer Academy (Corona, NY)
Pioneer Academy (Wayne, NJ)
Pioneer Bilingual Elementary School (Lafayette, CO)
Pioneer Career & Technology (Shelby, OH)
Pioneer Career Academy (Zolfo Springs, FL)
Pioneer Charter School Of Science (Everett, MA)
Pioneer Charter School Of Science Ii (Pcss-Ii) (Saugus, MA)
Pioneer Continuation High (Redding, CA)
Pioneer Drive Elementary (Bakersfield, CA)
Pioneer Elementary (Brentwood, CA)
Pioneer Elementary (Merced, CA)
Pioneer Elementary (Quincy, WA)
Pioneer Elementary School (Colorado Springs, CO)
Pioneer Elementary School (Glendale, AZ)
Pioneer Elementary School (Olympia, WA)
Pioneer Elementary School (Shelton, WA)
Pioneer Elementary School (Sunnyside, WA)
Pioneer Grove Educational Center (Frankfort, IL)
Pioneer High (Carson City, NV)
Pioneer High (Continuation) (Gustine, CA)
Pioneer High (San Jose, CA)
Pioneer High (Whittier, CA)
Pioneer High (Woodland, CA)
Pioneer High School (Ann Arbor, MI)
Pioneer High School (Croswell, MI)
Pioneer Jr-Sr High School (Royal Center, IN)
Pioneer Middle (Porterville, CA)
Pioneer Middle School (Wenatchee, WA)
Pioneer Path (Channahon, IL)
Pioneer Point Christian Academy (Trona, CA)
Pioneer Primary School (Weiser, ID)
Pioneer Secondary Alternative High School (Prineville, OR)
Pioneer Senior High School (Yorkshire, NY)
Pioneer Technical Center (Madera, CA)
Pioneer Technology (Ptaa) Greenville (Greenville, TX)
Pioneer Technology (Ptaa) Mesquite (Mesquite, TX)
Pioneer Valley Chinese Immersion Charter School (Hadley, MA)
Pioneer Valley Christian Academy (Springfield, MA)
Pioneer Valley Elementary (Spanaway, WA)
Pioneer Valley High (Santa Maria, CA)
Pioneer Valley Performing Arts Charter Public School (South Hadley, MA)
Pioneer Valley Regional (Northfield, MA)
Pioneer Work And Learn Center (Vassar, MI)
Pioneer-Pleasant Vale HS (Waukomis, OK)
Pioneer-Pleasant Vale Jhs (Waukomis, OK)
Pipe Creek Christian School (Pipe Creek, TX)
Piper High (Kansas City, KS)
Piper High School (Lauderhill, FL)
Piper School (Berwyn, IL)
Pipestem Christian Academy (Pipestem, WV)
Pipestone Learning Center (Pipestone, MN)
Pipestone Senior High (Pipestone, MN)
Piqua High School (Piqua, OH)
Piscataquis Community Secondary School (Guilford, ME)
Piscataway Regional Day School (Piscataway, NJ)
Piscataway Township High School (Piscataway, NJ)
Pisgah Elementary (Candler, NC)
Pisgah Elementary School (Brandon, MS)
Pisgah Forest Elementary (Brevard, NC)
Pisgah High (Canton, NC)
Pisgah High School (Brandon, MS)
Pisgah High School (Pisgah, AL)
Pisgah High School (Sandhill, MS)
Pitkin High School (Pitkin, LA)
Pitman High School (Pitman, NJ)
Pitman Middle School (Pitman, NJ)
Pitner Elementary School (Acworth, GA)
Pitt Academy (Louisville, KY)
Pittman Charter (Stockton, CA)
Pittman Elem. (Springfield, MO)
Pittsburg El (Pittsburg, TX)
Pittsburg H S (Pittsburg, TX)
Pittsburg High (Pittsburg, KS)
Pittsburg HS (Pittsburg, OK)
Pittsburg School (High) (Pittsburg, NH)
Pittsburg Senior High (Pittsburg, CA)
Pittsburgh Allderdice HS (Pittsburgh, PA)
Pittsburgh Banksville K-5 (Pittsburgh, PA)
Pittsburgh Brashear HS (Pittsburgh, PA)
Pittsburgh Brookline K-8 (Pittsburgh, PA)
Pittsburgh Capa 6-12 (Pittsburgh, PA)
Pittsburgh Carrick HS (Pittsburgh, PA)
Pittsburgh Conroy (Pittsburgh, PA)
Pittsburgh Milliones 6-12 (Pittsburgh, PA)
Pittsburgh Obama 6-12 (Pittsburgh, PA)
Pittsburgh Oliver (Pittsburgh, PA)
Pittsburgh Perry HS (Pittsburgh, PA)
Pittsburgh Phillips K-5 (Pittsburgh, PA)
Pittsburgh Pioneer (Pittsburgh, PA)
Pittsburgh Roosevelt K -5 (Pittsburgh, PA)
Pittsburgh Science And Technology Academ (Pittsburgh, PA)
Pittsfield Elementary School (Pittsfield, NH)
Pittsfield High (Pittsfield, MA)
Pittsfield High School (Pittsfield, IL)
Pittsfield High School (Pittsfield, NH)
Pittsford Area High School (Pittsford, MI)
Pittsford Sutherland High School (Pittsford, NY)
Pittsford-Mendon High School (Pittsford, NY)
Pittston Area Shs (Pittston, PA)
Pittston-Randolph Consolidated School (Pittston, ME)
Pittsville High (Pittsville, WI)
Pittsylvania Voc.-Tech. Ctr. (Chatham, VA)
Pius X High School (Lincoln, NE)
Piute High (Junction, UT)
Pivik El Sch (Plum, PA)
Pivot Charter School - North Bay (Santa Rosa, CA)
Pivot Charter School - San Diego Ii (San Marcos, CA)
Pivot Charter School (Riverview, FL)
Pivot Charter School North Valley Ii (Chico, CA)
Pivot Charter School Riverside (Corona, CA)
Pizzo K-8 School (Tampa, FL)
Pk Early Intervention (Stuart, FL)
Place (Cottage Grove, MN)
Placedo El (Placedo, TX)
Placentino Elementary (Holliston, MA)
Placer County Community Schools (Auburn, CA)
Placer County Court Schools (Auburn, CA)
Placer County Pathways Charter (Auburn, CA)
Placer County Special Education (Auburn, CA)
Placer High (Auburn, CA)
Placer Learning Center (Granite Bay, CA)
Placitas Elementary (Bernalillo, NM)
Plain Dealing High School (Plain Dealing, LA)
Plain Elementary (Simpsonville, SC)
Plainedge Senior High School (Massapequa, NY)
Plainfield Academy (Plainfield, IL)
Plainfield Academy For The Arts & Advanced Studies (Plainfield, NJ)
Plainfield East High School (Plainfield, IL)
Plainfield High School (Central Village, CT)
Plainfield High School (Plainfield, IL)
Plainfield High School (Plainfield, IN)
Plainfield High School (Plainfield, NJ)
Plainfield Memorial School (Plainfield, CT)
Plainfield North High School (Plainfield, IL)
Plainfield South High School (Plainfield, IL)
Plains El (Plains, TX)
Plains Elem (Plains, KS)
Plains H S (Plains, TX)
Plains High School (Plains, MT)
Plainview Christian Academy (Plainview, TX)
Plainview Elementary School (Plainview, NE)
Plainview Elementary School (Sheridan Lake, CO)
Plainview H S (Plainview, TX)
Plainview High School (Glenmora, LA)
Plainview HS (Ardmore, OK)
Plainview Junior-Senior High School (Sheridan Lake, CO)
Plainview School (Rainsville, AL)
Plainview Secondary School (Plainview, NE)
Plainview-Elgin-Millville High (Plainview, MN)
Plainview-Elgin-Millville Pk-3 (Plainview, MN)
Plainview-Old Bethpage Middle School (Plainview, NY)
Plainview-Old Bethpage/Jfk High School (Plainview, NY)
Plainville Elem (Plainville, KS)
Plainville High (Plainville, KS)
Plainville High School (Plainville, CT)
Plainwell High School (Plainwell, MI)
Plamondon Elem School (Chicago, IL)
Plank Junior High (Oswego, IL)
Plank Road South Elementary School (Webster, NY)
Plankinton Elementary - 02 (Plankinton, SD)
Plankinton High School - 01 (Plankinton, SD)
Plano East Sr H S (Plano, TX)
Plano High School (Plano, IL)
Plano Isd Academy H S (Plano, TX)
Plano Special Programs Center (Nevada, TX)
Plano Sr H S (Plano, TX)
Plano West Senior H S (Plano, TX)
Plant City High School (Plant City, FL)
Plant High School (Tampa, FL)
Plantation Elementary School (Plantation, FL)
Plantation High School (Plantation, FL)
Plantation Park Elementary (Plantation, FL)
Plaquemine Senior High School (Plaquemine, LA)
Plateau Valley Elementary School (Collbran, CO)
Plateau Valley High School (Collbran, CO)
Plato Academy (El Paso, TX)
Plato Academy Charter School Tarpon Springs (Tarpon Springs, FL)
Plato High (Plato, MO)
Platt Technical High School (Milford, CT)
Platte - Geddes High School - 01 (Platte, SD)
Platte Canyon High School (Bailey, CO)
Platte Center Elementary School (Platte Center, NE)
Platte County High (Platte City, MO)
Platte River Charter Academy (Highlands Ranch, CO)
Platte River School (Torrington, WY)
Platte Valley Coop. (Dearborn, MO)
Platte Valley High School (Kersey, CO)
Platte Valley Youth Services Center (Greeley, CO)
Platte-Geddes Cyber High School - 92 (Platte, SD)
Platteview Senior High School (Springfield, NE)
Platteville Elementary School (Platteville, CO)
Platteville High (Platteville, WI)
Plattsburg High (Plattsburg, MO)
Plattsburgh Senior High School (Plattsburgh, NY)
Plattsmouth Early Childhood (Plattsmouth, NE)
Plattsmouth High School (Plattsmouth, NE)
Playa Del Rey Elementary School (Gilbert, AZ)
Plaza Heights Christian Academy (Blue Springs, MO)
Plaza Robles Continuation High (Stockton, CA)
Pleasant Creek High School (Mount Pleasant, UT)
Pleasant Elementary (Tulare, CA)
Pleasant Garden Elementary (Pleasant Garden, NC)
Pleasant Grove El (Dallas, TX)
Pleasant Grove Elementary School (Heflin, AL)
Pleasant Grove Elementary School (Mount Washington, KY)
Pleasant Grove H S (Texarkana, TX)
Pleasant Grove High (Elk Grove, CA)
Pleasant Grove High (Pleasant Grove, UT)
Pleasant Grove High School (Pleasant Grove, AL)
Pleasant Grove Middle (Rescue, CA)
Pleasant Grove Public School (Shawnee, OK)
Pleasant High School (Marion, OH)
Pleasant Hill Academy (Kissimmee, FL)
Pleasant Hill Adventist Academy (Pleasant Hill, CA)
Pleasant Hill Christian School (Spring Grove, PA)
Pleasant Hill Elementary (Olive Branch, MS)
Pleasant Hill High (Pleasant Hill, MO)
Pleasant Hill High School (Pleasant Hill, IL)
Pleasant Hill High School (Pleasant Hill, LA)
Pleasant Hill High School (Pleasant Hill, OR)
Pleasant Hope High (Pleasant Hope, MO)
Pleasant Hope Ranch Sch. (Brighton, MO)
Pleasant Knoll Middle (Fort Mill, SC)
Pleasant Lake Elementary School (West Bloomfield, MI)
Pleasant Lane Elem School (Lombard, IL)
Pleasant Plains High School (Pleasant Plains, IL)
Pleasant Prairie Elementary (Pleasant Prairie, WI)
Pleasant Ridge Elementary (Gastonia, NC)
Pleasant Ridge High (Easton, KS)
Pleasant Ridge Middle (Overland Park, KS)
Pleasant Ridge Montessori School (Cincinnati, OH)
Pleasant Ridge Special Education Preschool (Grass Valley, CA)
Pleasant Valley Baptist School (Chico, CA)
Pleasant Valley Colony Elementary - 06 (Flandreau, SD)
Pleasant Valley El Sch (Kunkletown, PA)
Pleasant Valley Elem (Wichita, KS)
Pleasant Valley Elementary (San Miguel, CA)
Pleasant Valley Elementary School (Jacksonville, AL)
Pleasant Valley High (Chico, CA)
Pleasant Valley High School (Bettendorf, IA)
Pleasant Valley High School (Jacksonville, AL)
Pleasant Valley HS (Brodheadsville, PA)
Pleasant Valley Innovative School (Eton, GA)
Pleasant Valley Intermediate School (Peoria, IL)
Pleasant Valley Middle (Placerville, CA)
Pleasant Valley Middle School (Wichita, KS)
Pleasant View Baptist School (Hardinsburg, KY)
Pleasant View Christian School (Montgomery, IN)
Pleasant View Christian School (Pleasant View, TN)
Pleasant View Elementary (Sauk Rapids, MN)
Pleasant View Elementary School (Bettendorf, IA)
Pleasant View Junior High (Ozark, AR)
Pleasant View Middle School (Pueblo, CO)
Pleasant View School (Memphis, TN)
Pleasantdale Middle Sch (Burr Ridge, IL)
Pleasanton Elementary School (Pleasanton, NE)
Pleasanton H S (Pleasanton, TX)
Pleasanton High (Pleasanton, KS)
Pleasanton High School (Pleasanton, NE)
Pleasanton Isd School Of Choice (Pleasanton, TX)
Pleasants Lane Elem (Petersburg, VA)
Pleasantville Elementary School (New Castle, DE)
Pleasantville High School (Pleasantville, IA)
Pleasantville High School (Pleasantville, NJ)
Pleasantville High School (Pleasantville, NY)
Pleasantville Middle School (Pleasantville, NY)
Pleasure Ridge Park High (Louisville, KY)
Plenty Coups High School (Pryor, MT)
Plentywood High School (Plentywood, MT)
Plevna High School (Plevna, MT)
Plt Middle School (Prophetstown, IL)
Plum City High (Plum City, WI)
Plum Cove School (Gloucester, MA)
Plum Creek Christian Academy (Dyer, IN)
Plum Creek El (Lockhart, TX)
Plum Grove Jr High School (Rolling Meadows, IL)
Plum Point Elementary (Huntingtown, MD)
Plum Shs (Plum, PA)
Plumas Charter (Quincy, CA)
Plumas County Community (Quincy, CA)
Plumas County Rop (Quincy, CA)
Plumfield Academy (Sebastopol, CA)
Plummer El (Cedar Hill, TX)
Plumstead Christian School (Chalfont, PA)
Plumstead Christian School (Plumstead, PA)
Plymouth Center School (Plymouth, CT)
Plymouth Christian  School (Grand Rapids, MI)
Plymouth Christian Academy (Canton, MI)
Plymouth Early Childhood Center (Plymouth, MA)
Plymouth Elementary (Plymouth, CA)
Plymouth High (Plymouth, WI)
Plymouth High School (Canton, MI)
Plymouth High School (Plymouth, IN)
Plymouth High School (Plymouth, OH)
Plymouth High School (St Helens, OR)
Plymouth North High (Plymouth, MA)
Plymouth Scholars Charter Academy (Plymouth, MI)
Plymouth South High (Plymouth, MA)
Plymouth Youth Center (Minneapolis, MN)
Plymouth Youth Center Extended (Minneapolis, MN)
Plymouth-Whitemarsh Shs (Plymouth Meeting, PA)
Pmhs Career & Technology Center (Picayune, MS)
Poca High School (Poca, WV)
Poca Middle School (Poca, WV)
Pocahontas Area Middle/ High School (Pocahontas, IA)
Pocahontas Area Regional Learning Center (Pocahontas, IA)
Pocahontas Center (Pocahontas, IL)
Pocahontas County High School (Dunmore, WV)
Pocahontas High School (Pocahontas, AR)
Pocahontas Middle (Richmond, VA)
Pocalla Springs Elementary (Sumter, SC)
Pocatello High School (Pocatello, ID)
Pocola HS (Pocola, OK)
Pocomoke High (Pocomoke City, MD)
Pocono Mountain East HS (Swiftwater, PA)
Pocono Mountain East Jhs (Swiftwater, PA)
Pocono Mountain West HS (Pocono Summit, PA)
Poder Academy (Cheyenne, WY)
Poder Academy Secondary School (Cheyenne, WY)
Poe Elem Classical School (Chicago, IL)
Poe Elementary (Raleigh, NC)
Poetry Community Christian School (Terrell, TX)
Pohatcong Township School (Phillipsburg, NJ)
Pohukaina School (Honolulu, HI)
Poinciana Academy Of Fine Arts (Kissimmee, FL)
Poinciana Christian Preparatory School (Kissimmee, FL)
Poinciana High School (Kissimmee, FL)
Poinciana Park Elementary School (Miami, FL)
Point Alternative Center (Baytown, TX)
Point Arena High (Point Arena, CA)
Point Higgins School (Ketchikan, AK)
Point Loma High (San Diego, CA)
Point Of Grace Christian (Perry, FL)
Point Of Grace Christian Academy (Hollywood, FL)
Point Pleasant Beach High School (Point Pleasant Beach, NJ)
Point Pleasant Borough High School (Point Pleasant, NJ)
Point Pleasant Junior/Senior High School (Point Pleasant, WV)
Point Quest Central Valley (Lodi, CA)
Point Road School (Little Silver, NJ)
Point Rock Alternative (Elkhart, KS)
Pojoaque High (Santa Fe, NM)
Poland Junior-Senior High School (Poland, NY)
Poland Regional H S (Poland, ME)
Poland Seminary High School (Poland, OH)
Polaris Career Center (Middleburg Heights, OH)
Polaris Expeditionary Learning School (Fort Collins, CO)
Polaris High School (Orem, UT)
Polaris K-12 School (Anchorage, AK)
Polaris Tech Charter School (Ridgeland, SC)
Polaris West High (American Fork, UT)
Polenta Elementary (Garner, NC)
Polk County Early College (Columbus, NC)
Polk County High School (Benton, TN)
Polk County High School (Columbus, NC)
Polk County Middle School (Mill Spring, NC)
Polk County Sheriff'S Central Center (Bartow, FL)
Polk Full Time Eschool (Lakeland, FL)
Polk Grad Academy (Lakeland, FL)
Polk Halfway House (Bartow, FL)
Polk State College Collegiate High School (Lakeland, FL)
Polk State Lakeland Gateway To College Charter High School (Lakeland, FL)
Polk Street School (Franklin Square, NY)
Polk Virtual Franchise (Lakeland, FL)
Polk Virtual Instruction (Course Offerings) (Lakeland, FL)
Polk Virtual Instruction Program (Lakeland, FL)
Pollock Elementary School (Pollock, LA)
Pollock Robert B Sch (Philadelphia, PA)
Pollocksville Elementary (Pollocksville, NC)
Polo Comm High School (Polo, IL)
Polo High (Polo, MO)
Polson High School (Polson, MT)
Poly Prep Country Day School (Brooklyn, NY)
Polytech High School (Woodside, DE)
Polytechnic H S (Fort Worth, TX)
Polytechnic High (Long Beach, CA)
Polytechnic High (Riverside, CA)
Polytechnic School (Pasadena, CA)
Pomelo Community Charter (West Hills, CA)
Pomeroy El (Pasadena, TX)
Pomeroy Jr Sr High School (Pomeroy, WA)
Pomfret School (Pomfret, CT)
Pomo (Clearlake, CA)
Pomolita Middle (Ukiah, CA)
Pomona Alternative (Pomona, CA)
Pomona High (Pomona, CA)
Pomona High School (Arvada, CO)
Pompano Beach High School (Pompano Beach, FL)
Pompano Youth Treatment Center (Pompano Beach, FL)
Pomperaug Regional High School (Southbury, CT)
Pompton Lakes High School (Pompton Lakes, NJ)
Ponaganset High School (North Scituate, RI)
Ponaganset Middle School (North Scituate, RI)
Ponca City East Ms (Ponca City, OK)
Ponca City HS (Ponca City, OK)
Ponca Elementary School (Ponca, NE)
Ponca High School (Ponca, NE)
Ponce De Leon Elementary School (Clearwater, FL)
Ponce De Leon High School (Ponce De Leon, FL)
Ponce High School (Ponce, PR)
